"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"4298","Link to official webpage","http://www.gesetze-im-internet.de/windseeg/","German","18/02/2021","8934","Legislation"
"4297","2020 version (PDF)","http://www.gesetze-im-internet.de/windseeg/WindSeeG.pdf","German","18/02/2021","8934","Legislation"
"4296","Full text (PDF)","","English","N/A","9750","Legislation"
"4295","Full text (PDF)","","English","N/A","9751","Legislation"
"4290","Link to official website","https://www.whitehouse.gov/briefing-room/presidential-actions/2021/01/20/executive-order-protecting-public-health-and-environment-and-restoring-science-to-tackle-climate-crisis/","English","29/01/2021","9748","Legislation"
"4289","Link to official website","https://www.whitehouse.gov/briefing-room/presidential-actions/2021/01/27/executive-order-on-tackling-the-climate-crisis-at-home-and-abroad/","English","29/01/2021","9747","Legislation"
"4288","Link to full text ","https://www.govtrack.us/congress/bills/116/hr133/text","English","07/01/2021","9746","Legislation"
"4287","Link to full text (PDF)","https://www.mincit.gov.co/prensa/noticias/documentos-noticias/ley-2068-del-31-de-diciembre-de-2020.aspx","Spanish","07/01/2021","9745","Legislation"
"4286","Link to official website","https://www.gov.uk/government/publications/green-finance-strategy","English","07/01/2021","9744","Legislation"
"4271","Full text (PDF)","","English","N/A","9743","Legislation"
"4270","Link to official webpage","https://www.legislation.gov.uk/ukpga/2015/7/contents/enacted","English","07/01/2021","9743","Legislation"
"4253","Full text (PDF)","","English","N/A","9742","Legislation"
"4249","Notification in Hindi and English (PDF)","","English","N/A","9741","Legislation"
"4248","Link to official webpage","https://www.gob.mx/inecc/documentos/acuerdo-por-el-que-se-aprueba-el-programa-institucional-del-instituto-nacional-de-ecologia-y-cambio-climatico-2020-2024","Spanish","04/12/2020","9740","Legislation"
"4247","Law 4119/2020","http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=70002","Ukrainian","04/12/2020","9213","Legislation"
"4246","Full text (PDF)","https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52020DC0741&from=EN","English","04/12/2020","9739","Legislation"
"4245","Official explicatory report for the 2020 ordinance","https://www.newsd.admin.ch/newsd/message/attachments/63990.pdf","French","04/12/2020","1687","Legislation"
"4244","Provisory version of 2020 ordinance","https://www.newsd.admin.ch/newsd/message/attachments/63983.pdf","French","04/12/2020","1687","Legislation"
"4243","Link to official webpage for Law no  2016-1888","https://www.legifrance.gouv.fr/loda/id/LEGIARTI000033725056/2016-12-30/","French","04/12/2020","9738","Legislation"
"4242","Link to official webpage for Law no 85-30","https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000317293/2020-11-02/","French","04/12/2020","9738","Legislation"
"4223","2016-2020 version","https://www.mma.gov.br/images/arquivo/80120/PPCDAm%20e%20PPCerrado%20-%20Encarte%20Principal%20-%20GPTI%20_%20p%20site.pdf","Portuguese","17/11/2020","9737","Legislation"
"4222","2012-2015 version","https://www.mma.gov.br/images/arquivo/80120/PPCDAm/_FINAL_PPCDAM.PDF","Portuguese","17/11/2020","9737","Legislation"
"4221","2009-2011 version","https://www.mma.gov.br/images/arquivo/80120/PPCDAm%202%20fase%20_%202009-11.pdf","Portuguese","17/11/2020","9737","Legislation"
"4220","2020-2023 full version (PDF)","","Portuguese","N/A","9737","Legislation"
"4219","2004-2008 version","https://www.mma.gov.br/images/arquivo/80120/PPCDAM_fase1.pdf","Portuguese","17/11/2020","9737","Legislation"
